,s,pCount,iCount,totalCount
0,http://www.wikidata.org/entity/Q179248,65,5864.0,5929.0
1,http://www.wikidata.org/entity/Q97704261,29,95.0,124.0
2,http://www.wikidata.org/entity/Q873625,33,52.0,85.0
3,http://www.wikidata.org/entity/Q16799549,27,47.0,74.0
4,http://www.wikidata.org/entity/Q58893412,24,27.0,51.0
5,http://www.wikidata.org/entity/Q2918061,34,5.0,39.0
6,http://www.wikidata.org/entity/Q15307583,22,17.0,39.0
7,http://www.wikidata.org/entity/Q60545071,34,5.0,39.0
8,http://www.wikidata.org/entity/Q19903733,20,9.0,29.0
9,http://www.wikidata.org/entity/Q98000094,25,3.0,28.0
10,http://www.wikidata.org/entity/Q98034430,23,4.0,27.0
11,http://www.wikidata.org/entity/Q60723796,23,4.0,27.0
12,http://www.wikidata.org/entity/Q97466048,22,5.0,27.0
13,http://www.wikidata.org/entity/Q98076424,24,0.0,24.0
14,http://www.wikidata.org/entity/Q110904399,15,8.0,23.0
15,http://www.wikidata.org/entity/Q98034171,20,3.0,23.0
16,http://www.wikidata.org/entity/Q98000063,21,2.0,23.0
17,http://www.wikidata.org/entity/Q63979002,20,2.0,22.0
18,http://www.wikidata.org/entity/Q61241625,18,3.0,21.0
19,http://www.wikidata.org/entity/Q97135168,21,0.0,21.0
20,http://www.wikidata.org/entity/Q98083465,16,4.0,20.0
21,http://www.wikidata.org/entity/Q97890404,19,1.0,20.0
22,http://www.wikidata.org/entity/Q96158230,11,8.0,19.0
23,http://www.wikidata.org/entity/Q98926180,18,0.0,18.0
24,http://www.wikidata.org/entity/Q98026686,17,1.0,18.0
25,http://www.wikidata.org/entity/Q97929229,17,0.0,17.0
26,http://www.wikidata.org/entity/Q97545859,16,0.0,16.0
27,http://www.wikidata.org/entity/Q97696014,15,0.0,15.0
28,http://www.wikidata.org/entity/Q110891836,13,1.0,14.0
29,http://www.wikidata.org/entity/Q110891832,13,1.0,14.0
30,http://www.wikidata.org/entity/Q97695342,11,1.0,12.0
31,http://www.wikidata.org/entity/Q97836981,9,1.0,10.0
32,http://www.wikidata.org/entity/Q70142904,9,0.0,9.0
33,http://www.wikidata.org/entity/Q10601804,2,1.0,3.0
34,http://www.wikidata.org/entity/Q65146288,2,0.0,2.0
35,http://www.wikidata.org/entity/Q104216839,2,0.0,2.0
