,s,pCount,iCount,totalCount
0,http://www.wikidata.org/entity/Q111419899,22,9.0,31.0
1,http://www.wikidata.org/entity/Q97666961,20,4.0,24.0
2,http://www.wikidata.org/entity/Q97622924,20,4.0,24.0
3,http://www.wikidata.org/entity/Q55463592,20,4.0,24.0
4,http://www.wikidata.org/entity/Q75837361,19,4.0,23.0
5,http://www.wikidata.org/entity/Q97932751,20,3.0,23.0
6,http://www.wikidata.org/entity/Q97927851,20,3.0,23.0
7,http://www.wikidata.org/entity/Q97924803,21,2.0,23.0
8,http://www.wikidata.org/entity/Q94697095,20,3.0,23.0
9,http://www.wikidata.org/entity/Q55753199,20,3.0,23.0
10,http://www.wikidata.org/entity/Q97489697,20,3.0,23.0
11,http://www.wikidata.org/entity/Q97515893,20,3.0,23.0
12,http://www.wikidata.org/entity/Q55463614,20,3.0,23.0
13,http://www.wikidata.org/entity/Q99774707,20,3.0,23.0
14,http://www.wikidata.org/entity/Q97666929,19,3.0,22.0
15,http://www.wikidata.org/entity/Q98109457,19,3.0,22.0
16,http://www.wikidata.org/entity/Q97824086,18,4.0,22.0
17,http://www.wikidata.org/entity/Q97156654,19,3.0,22.0
18,http://www.wikidata.org/entity/Q99896748,19,2.0,21.0
19,http://www.wikidata.org/entity/Q97608716,18,3.0,21.0
20,http://www.wikidata.org/entity/Q97622720,18,3.0,21.0
21,http://www.wikidata.org/entity/Q12275939,15,6.0,21.0
22,http://www.wikidata.org/entity/Q97684608,19,2.0,21.0
23,http://www.wikidata.org/entity/Q97725829,19,2.0,21.0
24,http://www.wikidata.org/entity/Q102349608,18,2.0,20.0
25,http://www.wikidata.org/entity/Q98109415,18,2.0,20.0
26,http://www.wikidata.org/entity/Q97834339,19,1.0,20.0
27,http://www.wikidata.org/entity/Q97831763,19,1.0,20.0
28,http://www.wikidata.org/entity/Q97824081,18,2.0,20.0
29,http://www.wikidata.org/entity/Q97139304,18,2.0,20.0
30,http://www.wikidata.org/entity/Q55463243,18,2.0,20.0
31,http://www.wikidata.org/entity/Q107101893,18,2.0,20.0
32,http://www.wikidata.org/entity/Q97573375,17,2.0,19.0
33,http://www.wikidata.org/entity/Q97720994,17,2.0,19.0
34,http://www.wikidata.org/entity/Q97608851,17,2.0,19.0
35,http://www.wikidata.org/entity/Q63343975,18,1.0,19.0
36,http://www.wikidata.org/entity/Q73359480,17,2.0,19.0
37,http://www.wikidata.org/entity/Q75755163,18,1.0,19.0
38,http://www.wikidata.org/entity/Q97004206,17,2.0,19.0
39,http://www.wikidata.org/entity/Q97622696,17,2.0,19.0
40,http://www.wikidata.org/entity/Q92435761,17,2.0,19.0
41,http://www.wikidata.org/entity/Q92430378,17,2.0,19.0
42,http://www.wikidata.org/entity/Q89587827,17,2.0,19.0
43,http://www.wikidata.org/entity/Q75853190,17,1.0,18.0
44,http://www.wikidata.org/entity/Q73360721,17,1.0,18.0
45,http://www.wikidata.org/entity/Q97573368,17,1.0,18.0
46,http://www.wikidata.org/entity/Q89587803,17,1.0,18.0
47,http://www.wikidata.org/entity/Q97004722,17,1.0,18.0
48,http://www.wikidata.org/entity/Q97015928,17,1.0,18.0
49,http://www.wikidata.org/entity/Q97074881,17,1.0,18.0
50,http://www.wikidata.org/entity/Q97666879,17,1.0,18.0
51,http://www.wikidata.org/entity/Q97723764,17,1.0,18.0
52,http://www.wikidata.org/entity/Q93959884,16,1.0,17.0
53,http://www.wikidata.org/entity/Q97062471,16,1.0,17.0
54,http://www.wikidata.org/entity/Q97077132,16,1.0,17.0
55,http://www.wikidata.org/entity/Q97722876,16,1.0,17.0
56,http://www.wikidata.org/entity/Q108541114,12,4.0,16.0
57,http://www.wikidata.org/entity/Q107638264,11,3.0,14.0
58,http://www.wikidata.org/entity/Q21033364,14,0.0,14.0
