,s,pCount,iCount,totalCount
0,http://www.wikidata.org/entity/Q223440,58,26.0,84.0
1,http://www.wikidata.org/entity/Q570532,64,16.0,80.0
2,http://www.wikidata.org/entity/Q633549,39,19.0,58.0
3,http://www.wikidata.org/entity/Q660623,32,10.0,42.0
4,http://www.wikidata.org/entity/Q728059,32,4.0,36.0
5,http://www.wikidata.org/entity/Q684439,31,3.0,34.0
6,http://www.wikidata.org/entity/Q455503,27,7.0,34.0
7,http://www.wikidata.org/entity/Q26255328,22,10.0,32.0
8,http://www.wikidata.org/entity/Q1402198,18,13.0,31.0
9,http://www.wikidata.org/entity/Q11934195,24,5.0,29.0
10,http://www.wikidata.org/entity/Q18588408,21,6.0,27.0
11,http://www.wikidata.org/entity/Q11934764,21,6.0,27.0
12,http://www.wikidata.org/entity/Q98356360,20,6.0,26.0
13,http://www.wikidata.org/entity/Q98356753,19,6.0,25.0
14,http://www.wikidata.org/entity/Q764629,20,5.0,25.0
15,http://www.wikidata.org/entity/Q3219705,19,2.0,21.0
16,http://www.wikidata.org/entity/Q98374052,18,3.0,21.0
17,http://www.wikidata.org/entity/Q717546,14,6.0,20.0
18,http://www.wikidata.org/entity/Q11951812,20,0.0,20.0
19,http://www.wikidata.org/entity/Q101564259,19,0.0,19.0
20,http://www.wikidata.org/entity/Q106211392,18,1.0,19.0
21,http://www.wikidata.org/entity/Q94972107,16,1.0,17.0
22,http://www.wikidata.org/entity/Q11923614,16,0.0,16.0
23,http://www.wikidata.org/entity/Q373846,13,1.0,14.0
24,http://www.wikidata.org/entity/Q654927,13,0.0,13.0
25,http://www.wikidata.org/entity/Q106211487,12,1.0,13.0
26,http://www.wikidata.org/entity/Q5656172,11,1.0,12.0
27,http://www.wikidata.org/entity/Q11917885,12,0.0,12.0
28,http://www.wikidata.org/entity/Q1442723,9,1.0,10.0
29,http://www.wikidata.org/entity/Q12286084,10,0.0,10.0
30,http://www.wikidata.org/entity/Q11903863,8,1.0,9.0
31,http://www.wikidata.org/entity/Q106211765,9,0.0,9.0
32,http://www.wikidata.org/entity/Q91178752,7,1.0,8.0
33,http://www.wikidata.org/entity/Q99760831,5,1.0,6.0
34,http://www.wikidata.org/entity/Q5548834,5,0.0,5.0
35,http://www.wikidata.org/entity/Q106527506,5,0.0,5.0
36,http://www.wikidata.org/entity/Q75455082,4,0.0,4.0
37,http://www.wikidata.org/entity/Q104587269,4,0.0,4.0
